"Census.Tract","Murder_Count","Murder_Percentage","Zip.Code","Most.Common.Clearance.Status","Average.open_case.Duration","Highest.Offense.Description","Offense.Count","Total.Incidents","Total.Family.Violence","AvgPopulation","AvgFoodInsecurePop","AvgFoodInsecurePctg","Proximity.to.Fresh.Food","Crime.Rate"
2.05,0,0,78756,"Not Cleared",25.4890829694323,"FAMILY DISTURBANCE",51,278,19,3936,595,0.15,"false",70.630081300813
2.06,0,0,78756,"Not Cleared",8.5,"BURGLARY OF RESIDENCE",1,4,0,3368,565,0.165,"false",1.18764845605701
3.04,0,0,78751,"Cleared",30.5121951219512,"VIOL CITY ORDINANCE - OTHER",16,57,0,3182,550,0.175,"false",17.9132620993086
4.01,0,0,78712,"Not Cleared",29.5,"THEFT",7,20,0,4175,775,0.185,"true",4.79041916167665
5,1,0.0192344681669552,78705,"Not Cleared",23.4470861119165,"BURGLARY OF VEHICLE",1656,7784,213,4443,960,0.215,"false",1751.96939005177
6.01,0,0,78705,"Cleared",26.5,"DWI",1,3,0,10250.5,1490,0.145,"false",0.292668650309741
7,3,0.0297059114763838,78701,"Not Cleared",30.610368183397,"THEFT",1426,13424,334,1352.5,275,0.205,"false",9925.32347504621
8.01,0,0,78702,"Not Cleared",2.66666666666667,"CRIMINAL MISCHIEF",2,4,0,1825,370,0.2,"true",2.19178082191781
8.02,0,0,78702,"Not Cleared",317.2,"CRIMINAL MISCHIEF",3,12,2,3676.5,970,0.265,"true",3.26397388820889
9.01,0,0,78702,"Not Cleared",4.42857142857143,"BURGLARY OF VEHICLE",3,8,1,2567,435,0.17,"true",3.11647837943124
9.02,0,0,78702,"Not Cleared",31.0857142857143,"BURGLARY OF VEHICLE",22,37,1,5569.5,1065,0.195,"true",6.64332525361343
10,6,0.0588119976475201,78702,"Not Cleared",35.1462641907947,"BURGLARY OF VEHICLE",1089,13383,766,3655,640,0.175,"true",3661.55950752394
11,38,0.0328523632088114,78701,"Cleared",25.893796129114,"THEFT",15321,147000,2606,7009,1215,0.175,"true",20973.0346697104
12,0,0,78703,"Not Cleared",24.6995568685377,"DWI",3575,18825,321,5685,920,0.165,"true",3311.34564643799
13.03,0,0,78704,"Not Cleared",45.5,"BURGLARY OF VEHICLE",19,93,5,4773,820,0.17,"false",19.4846008799497
14.01,0,0,78704,"Not Cleared",2,"BURGLARY OF VEHICLE",1,2,0,3206.5,565,0.18,"false",0.623733042257914
15.01,0,0,78731,"Cleared",61,"DWI 2ND",1,1,0,5489.5,770,0.14,"false",0.18216595318335
15.03,0,0,78752,"Not Cleared",10,"THEFT BY SHOPLIFTING",1,1,0,4218,800,0.19,"false",0.237079184447606
15.05,0,0,78756,"Not Cleared",11,"CUSTODY ARREST TRAFFIC WARR",1,3,0,4721,740,0.155,"false",0.635458589281932
16.03,0,0,78703,"Cleared",28.8,"CUSTODY ARREST TRAFFIC WARR",2,5,0,5282,590,0.11,"false",0.946611132146914
16.04,0,0,78703,"Not Cleared",36.1521739130435,"BURGLARY OF VEHICLE",13,49,1,4117,420,0.1,"false",11.9018702939033
17.06,0,0,78759,"Not Cleared",27.1052631578947,"BURGLARY OF VEHICLE",37,99,2,3916,570,0.145,"false",25.2808988764045
17.12,0,0,78745,"Not Cleared",32.390988372093,"FAMILY DISTURBANCE",102,858,81,4680,900,0.195,"true",183.333333333333
17.13,0,0,78745,"Not Cleared",33.3148450244698,"THEFT",80,735,21,4452,660,0.145,"true",165.094339622642
17.14,0,0,78726,"Not Cleared",15.25,"ASSAULT W/INJURY-FAM/DATE VIOL",2,9,2,14972.5,1995,0.13,"false",0.60110202037068
17.19,0,0,78731,"Not Cleared",10,"BURGLARY OF VEHICLE",1,1,0,4172,475,0.115,"false",0.239693192713327
17.22,0,0,78759,"Cleared",31,"UNLAWFUL CARRYING WEAPON",1,1,0,3851.5,770,0.2,"false",0.259639101648708
17.28,0,0,78745,"Cleared",50.2666666666667,"CUSTODY ARREST TRAFFIC WARR",47,316,7,7549,1005,0.13,"false",41.8598489866207
17.45,0,0,78727,"Not Cleared",35.4,"BURGLARY OF VEHICLE",3,7,0,2299,360,0.155,"false",3.04480208786429
17.47,0,0,78748,"Not Cleared",36.8948598130841,"FAMILY DISTURBANCE",179,1060,104,6207.5,1015,0.165,"false",170.761175996778
17.48,1,0.411522633744856,78748,"Not Cleared",28.1497975708502,"FAMILY DISTURBANCE",50,288,38,6529,845,0.125,"false",44.1108898759381
17.5,0,0,78749,"Not Cleared",26.8333333333333,"BURGLARY NON RESIDENCE",1,7,0,4913.5,805,0.16,"true",1.42464638241579
17.53,0,0,78759,"Cleared",34.2857142857143,"CUSTODY ARREST TRAFFIC WARR",2,9,0,1264.5,200,0.16,"false",7.11743772241993
17.54,0,0,78759,"Cleared",14.5,"BURGLARY OF VEHICLE",1,4,0,5015,750,0.15,"false",0.797607178464606
17.55,0,0,78759,"Cleared",6,"CUSTODY ARREST TRAFFIC WARR",1,1,0,6196,605,0.095,"false",0.161394448030988
17.57,0,0,78759,"Not Cleared",21,"BURGLARY NON RESIDENCE",1,2,0,2216,355,0.16,"false",0.902527075812274
17.6,0,0,78730,"Not Cleared",90.3333333333333,"BURGLARY OF RESIDENCE",2,11,0,18037.5,1955,0.11,"false",0.60984060984061
17.61,0,0,78730,"Not Cleared",63.0769230769231,"HARASSMENT",5,24,0,7828.5,1000,0.125,"false",3.06572140256754
17.65,0,0,78613,"Not Cleared",77.0714285714286,"HARASSMENT",3,16,0,14637,1515,0.1,"false",1.09312017489923
17.7,0,0,78739,"Not Cleared",30.4827586206897,"DWI",12,40,1,12995.5,1290,0.1,"false",3.07798853449271
